id_no,title,title_href,logoimage_src,comp_name,comp_name_href,rating_href,main_2,review,expwdth,ni_job_tuple_icon,locwdth,job_desc,dot_gt,dot_gt_2,dot_gt_3,dot_gt_4,dot_gt_5,dot_gt_6,dot_gt_7,dot_gt_8,job_post_day
11,Senior Technical Consultant - DevOps,https://www.naukri.com/job-listings-senior-technical-consultant-devops-salesforce-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-jaipur-bangalore-bengaluru-6-to-11-years-250124500327,https://img.naukimg.com/logo_images/groups/v1/230842.gif,Salesforce,https://www.naukri.com/salesforce-jobs-careers-8981,https://www.ambitionbox.com/reviews/salesforce-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,627  Reviews,6-11 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru","At Salesforce, the    DevOps Technical Consultant    will be part of the Global Deli...",metadata,Version control,Debugging,Agile,Troubleshooting,Open source,Ruby,Distribution system,5 Days Ago
12,Software Engineer (.Net FS) - Senior Associate - P&T Labs,https://www.naukri.com/job-listings-software-engineer-net-fs-senior-associate-p-t-labs-pricewaterhouse-coopers-private-limited-mumbai-hyderabad-secunderabad-bangalore-bengaluru-6-to-9-years-290124502883,https://img.naukri.com/logo_images/v3/1428182.gif,PwC Service Delivery Center,https://www.naukri.com/pwc-service-delivery-center-jobs-careers-676499,https://www.ambitionbox.com/reviews/pwc-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,6844  Reviews,6-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru","As a Full Stack Engineer, you will be responsible for the below activities:       Un...",Automation,Backend,Front end,Version control,Analytical,Process improvement,Javascript,Application development,1 Day Ago
13,Sas Developer,https://www.naukri.com/job-listings-sas-developer-ey-mumbai-suburban-maharashtra-pune-maharashtra-bangalore-rural-karnataka-6-to-11-years-280124001498,https://img.naukimg.com/logo_images/groups/v1/243080.gif,EY,https://www.naukri.com/ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,8782  Reviews,6-11 Yrs,15-20 Lacs PA,"Mumbai Suburban, Maharashtra, Pune, Maharashtra, Bangalore Rural, Karnataka",#NAME?,SAS,SAS programming,data mining,predictive modeling,statistical analysis,Statistics,Predictive,Analysis,2 Days Ago
14,Technical Lead I - Salesforce,https://www.naukri.com/job-listings-technical-lead-i-salesforce-citiustech-mumbai-pune-bangalore-bengaluru-5-to-7-years-250124500576,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,5-7 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru","Perform custom Salesforce development using Apex, Apex Triggers, Batch Apex, Visualforc...",Data migration,Front end,Data management,Coding,Javascript,Healthcare,Life sciences,Unit testing,5 Days Ago
15,Technical Lead I Salesforce DevOps Engineer,https://www.naukri.com/job-listings-technical-lead-i-salesforce-devops-engineer-citiustech-mumbai-pune-bangalore-bengaluru-5-to-7-years-240124501619,https://img.naukimg.com/logo_images/groups/v1/682834.gif,Citiustech,https://www.naukri.com/citiustech-jobs-careers-142075,https://www.ambitionbox.com/reviews/citiustech-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.5,1291  Reviews,5-7 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru",Good to have skills. Strong knowledge of Python and AWS is preferred . Proficiency in S...,Maven,Automation,Coding,Shell scripting,Agile,Healthcare,Apache,CRM,6 Days Ago
16,Abinitio Developer - Immediate Joiner,https://www.naukri.com/job-listings-abinitio-developer-immediate-joiner-ey-mumbai-suburban-maharashtra-pune-maharashtra-bangalore-rural-karnataka-6-to-11-years-240124011984,https://img.naukimg.com/logo_images/groups/v1/243080.gif,EY,https://www.naukri.com/ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,8782  Reviews,6-11 Yrs,Not disclosed,"Mumbai Suburban, Maharashtra, Pune, Maharashtra, Bangalore Rural, Karnataka","Location: Mumbai, Pune, Bangalore, Hyderabad, ChennaiVery Strong and hands on AbInitio,...",Abinitio,Unix,Abinitio Development,Abinitio Solutions,Hadoop,Abinitio graphs,ETL,Graph,6 Days Ago
17,Technical Consultant - HCM/HRMS,https://www.naukri.com/job-listings-technical-consultant-hcm-hrms-ey-pune-maharashtra-bangalore-rural-karnataka-mumbai-all-areas-5-to-10-years-240124004601,https://img.naukimg.com/logo_images/groups/v1/243080.gif,EY,https://www.naukri.com/ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,8782  Reviews,5-10 Yrs,10-20 Lacs PA,"Pune, Maharashtra, Bangalore Rural, Karnataka, Mumbai (All Areas)","Working experience of Prismforce application (Skillprism, Intelliprism) Working experie...",Ticketing Tools,Service desk experience with Application Support,prismforce,intelliprism,skillprism,Application,Desk,Service desk,7 Days Ago
18,EY India is hiring For SAS Developer- Immediate,https://www.naukri.com/job-listings-ey-india-is-hiring-for-sas-developer-immediate-ey-pune-bangalore-rural-karnataka-mumbai-all-areas-6-to-8-years-170124011145,https://img.naukimg.com/logo_images/groups/v1/243080.gif,EY,https://www.naukri.com/ey-jobs-careers-9156,https://www.ambitionbox.com/reviews/ernst-young-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.6,8782  Reviews,6-8 Yrs,Not disclosed,"Hybrid - Pune, Bangalore Rural, Karnataka, Mumbai (All Areas)","As a SAS Developer, you will be responsible for leveraging your extensive knowledge in ...",Predictive Modeling,SAS Macros,Data Mining,SAS Programming,Statistical Programming,Base SAS,SAS SQL,Statistical Modeling,2 Days Ago
19,Rpa Developer,https://www.naukri.com/job-listings-rpa-developer-capgemini-pune-bengaluru-mumbai-all-areas-4-to-9-years-020124005444,https://img.naukimg.com/logo_images/groups/v1/1288.gif,Capgemini,https://www.naukri.com/capgemini-jobs-careers-649,https://www.ambitionbox.com/reviews/capgemini-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,29315  Reviews,4-9 Yrs,Not disclosed,"Pune, Bengaluru, Mumbai (All Areas)","Work experience in Microsoft Power Platform development, more specifically Power Automa...",Rpa Automation,Robotic Process Automation,Blue Prism,Prism,Robotics,Process automation,Automation,Robotic Process,1 Day Ago
20,Azure Purview Job Opening with Hexaware!!,https://www.naukri.com/job-listings-azure-purview-opening-with-hexaware-hexaware-technologies-pune-chennai-mumbai-all-areas-8-to-12-years-240124006453,https://img.naukimg.com/logo_images/groups/v1/12466.gif,Hexaware Technologies,https://www.naukri.com/hexaware-technologies-jobs-careers-9815,https://www.ambitionbox.com/reviews/hexaware-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.7,4671  Reviews,8-12 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Mumbai (All Areas)","Role & responsibilities  Primary: Data governance Platforms Azure Purview, API Creation...",Azure Purview,API Creation,Azure services,Synapse,ADLS,Data governance Platforms,Azure Logic Apps,Application,7 Days Ago
